id_componente,codigo,nivel,nome,unidade_responsavel
25193,DHG0223,G,ESTUDOS CONTEMPORANEOS DA CULTURA,CERES - DEPARTAMENTO DE GEOGRAFIA
25194,DHG0300,G,ESTUDOS HISTORICOS,CERES - DEPARTAMENTO DE GEOGRAFIA
25195,DEH0001,G,INTRODUCAO AO ESTUDO DA HISTORIA,DEPARTAMENTO DE HISTÓRIA
25196,DEH0002,G,PRE-HISTORIA,DEPARTAMENTO DE HISTÓRIA
25197,DCS0029,G,SOCIOLOGIA I,DEPARTAMENTO DE CIÊNCIAS SOCIAIS
25198,DEH0021,G,TEORIA DA HISTORIA,DEPARTAMENTO DE HISTÓRIA
25199,DEH0003,G,HISTORIA ANTIGA I,DEPARTAMENTO DE HISTÓRIA
25200,DHG0303,G,HISTORIA ANTIGA,CERES - DEPARTAMENTO DE GEOGRAFIA
25201,DHG0304,G,HISTORIA MEDIEVAL I,CERES - DEPARTAMENTO DE GEOGRAFIA
25202,DHG0306,G,HISTORIA DA AMERICA I,CERES - DEPARTAMENTO DE GEOGRAFIA
25203,DHG0312,G,HISTORIA DO BRASIL I,CERES - DEPARTAMENTO DE GEOGRAFIA
25204,DEH0015,G,HISTORIA DO BRASIL I,DEPARTAMENTO DE HISTÓRIA
25205,DHG0310,G,HISTORIA DO RIO GRANDE DO NORTE I,CERES - DEPARTAMENTO DE GEOGRAFIA
25206,DEH0018,G,HISTORIA DO RIO GRANDE DO NORTE I,DEPARTAMENTO DE HISTÓRIA
25207,DEH0019,G,HISTORIA DA ARTE I,DEPARTAMENTO DE HISTÓRIA
25208,DEH0012,G,CIVILIZACAO IBERICA,DEPARTAMENTO DE HISTÓRIA
25209,DEH0011,G,HISTORIA DAS IDEIAS POLITICAS E SOCIAIS,DEPARTAMENTO DE HISTÓRIA
25210,EDU0238,G,PRATICA DE ENSINO DE HISTORIA,DEPARTAMENTO DE EDUCAÇÃO
25211,DHG0222,G,HISTÓRIA ECONÔMICA GERAL,CERES - DEPARTAMENTO DE GEOGRAFIA
25212,DHG0234,G,FORMAÇÃO ECONÔMICA E TERRITORIAL DO BRASIL,CERES - DEPARTAMENTO DE GEOGRAFIA
25213,DHG0200,G,INTRODUCAO A CIENCIA GEOGRAFICA,CERES - DEPARTAMENTO DE GEOGRAFIA
25214,DGE0101,G,INTRODUCAO A CIENCIA GEOGRAFICA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25215,DHG0224,G,ESTUDOS CARTOGRÁFICOS I,CERES - DEPARTAMENTO DE GEOGRAFIA
25216,DGE0102,G,CARTOGRAFIA GERAL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25217,DHG0204,G,FUNDAMENTOS PETROGRAFIA MINEROLOGIA E GEOLOGIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25218,DGE0103,G,"FUNDAMENTOS DE PETROGRAFIA, MINERALOGIA E GEOLOGIA",DEPARTAMENTO DE GEOGRAFIA/CCHLA
25219,DHG0205,G,GEOLOGIA GERAL,CERES - DEPARTAMENTO DE GEOGRAFIA
25220,DHG0207,G,METEOROLOGIA E CLIMATOLOGIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25221,DHG0212,G,SEMINARIO DE GEOGRAFIA ECONOMICA,CERES - DEPARTAMENTO DE GEOGRAFIA
25222,DHG0210,G,HIDROGRAFIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25223,DGE0112,G,HIDROGRAFIA,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25224,DHG0202,G,SEMINARIO DE GEOGRAFIA REGIONAL,CERES - DEPARTAMENTO DE GEOGRAFIA
25225,DHG0230,G,TEORIA E MÉTODO EM GEOGRAFIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25226,DHG0209,G,INTRODUÇÃO À ECOLOGIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25227,DHG0216,G,GEOGRAFIA REGIONAL DO MUNDO,CERES - DEPARTAMENTO DE GEOGRAFIA
25228,DHG0229,G,GEOGRAFIA FISICA DO BRASIL,CERES - DEPARTAMENTO DE GEOGRAFIA
25229,DGE0120,G,GEOGRAFIA DO BRASIL,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25230,DHG0219,G,GEOGRAFIA REGIONAL DO BRASIL,CERES - DEPARTAMENTO DE GEOGRAFIA
25231,DHG0218,G,GEOGRAFIA DO RIO GRANDE DO NORTE,CERES - DEPARTAMENTO DE GEOGRAFIA
25232,DHG0203,G,TECNICA DE PESQUISA GEOGRAFICA,CERES - DEPARTAMENTO DE GEOGRAFIA
25233,DHG0238,G,GEOGRAFIA DOS RECURSOS NATURAIS,CERES - DEPARTAMENTO DE GEOGRAFIA
25234,DGE0109,G,GEOGRAFIA DA POPULACAO,DEPARTAMENTO DE GEOGRAFIA/CCHLA
25235,DHG0217,G,ESTUDOS REGIONAIS DO SEMI-ÁRIDO,CERES - DEPARTAMENTO DE GEOGRAFIA
25236,DHG0236,G,GEOGRAFIA DO MAR,CERES - DEPARTAMENTO DE GEOGRAFIA
25237,DHG0250,G,PEDOLOGIA,CERES - DEPARTAMENTO DE GEOGRAFIA
25238,DHG0246,G,SEMINÁRIO DE ESTUDOS AGRÁRIOS,CERES - DEPARTAMENTO DE GEOGRAFIA
25239,DHG0245,G,SEMINÁRIO DE ESTUDOS URBANOS,CERES - DEPARTAMENTO DE GEOGRAFIA
25240,DHG0237,G,SEMINÁRIO DE GEOGRAFIA DO NORDESTE,CERES - DEPARTAMENTO DE GEOGRAFIA
25241,DHG0239,G,GEOGRAFIA DO PLANEJAMENTO,CERES - DEPARTAMENTO DE GEOGRAFIA
25242,DHG0220,G,SEMINÁRIO DE GEOGRAFIA POLÍTICA,CERES - DEPARTAMENTO DE GEOGRAFIA
25243,DHG0232,G,SEMINÁRIO DE GEOGRAFIA DA SAÚDE,CERES - DEPARTAMENTO DE GEOGRAFIA
25244,DHG0233,G,FITOGEOGRAFIA DO BRASIL,CERES - DEPARTAMENTO DE GEOGRAFIA
25245,CEA0082,G,INTRODUCAO AOS MICROCOMPUTADORES,CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
25246,CEA0088,G,PROGRAMACAO I,CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
25247,DIM0320,G,ALGORITMO E PROGRAMACAO DE COMPUTADORES,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25248,DIM0103,G,INTRODUCAO A INFORMATICA,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25249,CEA0089,G,INTRODUCAO AO PROCESSAMENTO DE DADOS,CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS
25250,DCA0302,G,LABORATORIO DE UTILIZACAO DE MICROCOMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
25251,DIM0324,G,CONCEITOS E TECNICAS DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25252,DIM0300,G,LAB. DE ALGORITMOS E TECNICAS DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25253,DIM0303,G,LABORATORIO DE ESTRUTURAS DE DADOS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25254,DIM0327,G,LABORATORIO DE ALGORITMOS E ESTRUTURAS DE DADOS I,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25255,DIM0329,G,LABORATORIO DE ALGORITMOS E ESTRUTURAS DE DADOS II,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25256,DIM0301,G,LABORATORIO DE LINGUAGEM DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25257,DIM0322,G,INTRODUCAO A ENGENHARIA DE SOFTWARE,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25258,DIM0405,G,PROPOSTA DE MONOGRAFIA DE GRADUACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25259,ELE0424,G,CIRCUITOS LOGICOS,DEPARTAMENTO DE ENGENHARIA ELÉTRICA
25260,DIM0045,G,PROGRAMACAO I - LABORATORIO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25261,DIM0001,G,INTRODUCAO A CIENCIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25262,DIM0424,G,PRATICA DE CONCEITOS E TECNICAS DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25263,DIM0325,G,LABORATORIO DE CONCEITOS E TECNICAS DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25264,DEM0102,G,ALGORITMO E PROGRAMACAO ORIENTADA AO OBJETO,DEPARTAMENTO DE ENGENHARIA MECANICA
25265,DCA0800,G,ALGORITMOS E LOGICA DE PROGRAMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
25266,DIM0422,G,FUNDAMENTOS MATEMATICOS DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25267,DIM0425,G,CONCEITOS E TECNICAS DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25268,DIM0066,G,PROPOSTA DE RELATORIO DE GRADUACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
25269,DCA0990,G,ESTAGIO SUPERVISIONADO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
25270,DMI0705,G,MEDICINA DE URGENCIA: TRAUMA CLINICO E CIRURGICO,DEPARTAMENTO DE MEDICINA INTEGRADA
25271,DMP0010,G,MICROBIOLOGIA,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
